,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907
1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,3,5,-4,2,8,-2,10,-2,12,-11,2,15,-2,2,-2,4,-4,6,22,-3,24,25,-13,2,3,29,-2,2,32,33,-3,35,36,37,-3,39,40,-2,42,-5,2,-2,2,-4,2,-11,2,9,-2,2,-4,2,-2,-3,16,-2,2,-11,-27,3,4,-2,-3,3,-2,9,12,71,72,-7,-12,3,76,-3,-4,2,-2,-3,5,-9,2,-11,-52,2,3,-2,5,-2,-6,-7,3,-2,6,-11,-72,3,-2,5,-2,2,-4,-7,10,22,24,-11,-12,3,-2,2,-4,2,-6,4,5,37,44,-3,-24,3,48,49,-3,2,-5,-6,130,131,-3,-11,-12,3,-2,5,-4,2
1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-2,-3,2,-2,-3,-4,4,11,-2,0,-14,2,3,17,-2,-3,-5,2,22,23,24,-4,-12,3,-2,29,-2,-5,-6,-7,4,-9,7,-2,-12,2,3,-2,-3,3,-5,2,9,-2,2,-11,-36,3,4,-2,-4,-5,2,-2,6,-2,23,-11,-12,3,-2,5,-2,-3,3,9,10,34,36,-2,-12,2,40,77,-2,-4,2,81,-2,-3,-9,85,-24,87,88,89,-4,2
1103,0,0,0,0,0,0,0,0,0,0,2,3,-4,-5,3,-2,5,-4,-5,-6,2,5,6,-3,8,-17,2,3,-2,-3,-5,2,-2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,4,-2,6,-4,-8,2,4,-2,12,0,-14,2,4,5,-3,-4,3,-2,10,11,12,-3,-12,2,-2,-3,-4,2,4,5,6,8,-3,-6,-38,2,3,5,-42,2,3,4,10,-2,-3,-4,-50,3,4,17,-2,-3,-6,3,5,24,25,-5,-12,2,-64,2,-2,2,3,4,-3,6,-2,-3,-74,3,-2,14,-2,-5,3,-2,5,6,24,-4,-86,2,-2,-3,-4,3
1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-2,-3,-5,3,-2,6,10,-3,2,0,-14,2,-2,2,3,4,-6,2,22,-2,2,-2,-12,27,-2,-3,2,3,-6,2,34,-2,36,-2,-12,2,-2,-3,2,3,-3,5,7,-2,11,-8,-50,3,-2,-3,-4,-5,3,-57,2,6,12,-4,-5,3,-2,2,-4,2,3,6,-4,2,3,13,-74,2,-2,2,-4,2,3,4,9,-2,36,48,-12,2,-2,2,-4,2
1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-2,5,-4,2,-6,2,10,-2,2,0,-14,2,-2,2,-2,4,-2,2,9,10,-3,25,-26,2,-2,-3,2,3,4,-7,9,-2,2,37,-12,2,3,4,-2,2,-18,2,3,4,5,-4,-24,3,-2,2,-4,-5,3,-7,10,-2,2,-11,-62,3,-2,2,-4,2,3,-3,-4,-5,4,8,-74,2,-2,2,-4,-5,-6,2,7,-2,2,27,-86,2,3,-3,-4,3
1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,-2,-4,-5,3,-7,5,11,12,0,-14,2,16,-3,-4,-5,3,5,22,23,-2,-4,-12,3,-2,5,-4,-5,-6,2,5,6,-3,2,-12,2,3,4,-3,2,3,10,-2,-4,-5,-6,-50,5,6,-3,-4,-5,3,-2,5,14,31,-6,-12,3,4,-3,-4,-5,8,40,-8,71,-2,-3,-12,2,4,6,-2,2,-2,81,82,-7,2,-2,-36,2,88,89,-3,-4
1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-3,2,-6,7,-2,2,10,-2,-3,0,-8,2,3,-3,-4,19,-6,2,22,-2,24,-4,-12,2,3,-3,-4,2,-6,8,10,-2,36,-4,-24,2,3,-3,5,-5,-6,2,4,5,11,-4,-44,3,4,-3,-4,-5,-6,-57,3,6,8,-4,2,3,-3,-4,-5,3,-2,69,-2,2,3,-5,-17,3,-2,2,-2,4,-6,2,10,-2,12,13,-86,2,-2,2,-4,2
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
